2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

pentacorn hat	Familiar Effect: "atk, cap 10"
pickelhaube	Weapon Damage: +5, Weapon Damage Percent: +10, Familiar Effect: "atk, 1xFairy, cap 18"
pig-iron helm	Muscle: +7, Weapon Damage: +10, Familiar Effect: "1xFairy, cap 22"
pimpin' meat hat	Muscle: +2, Moxie: +2, Familiar Effect: "sleaze atk, 1xVolley, cap 13"
pixel hat	Muscle: +2, Mysticality: +2, Moxie: +2, Familiar Effect: "atk, 2xVolley, cap 12"
plaid cowboy hat	Weapon Damage: +20, Hot Resistance: +2
plain paper hat	Cold Damage: +20, Cold Spell Damage: +25, Spell Damage Percent: +30
plexiglass pith helmet	Familiar Weight: +5, HP Regen Min: 10, HP Regen Max: 12, MP Regen Min: 10, MP Regen Max: 12, Muscle Percent: +30, Familiar Effect: "1xVolley, 1xLep, cap 45"
pointy red hat	Damage Reduction: 5, Familiar Effect: "1xVolley, 1xLep, cap 27"
pottery hat	Cold Resistance: +1, Hot Damage: +5, Familiar Effect: "hot atk, cap 11"
powdered wig	Moxie: +3, MP Regen Min: 2, MP Regen Max: 4, Familiar Effect: "2xPotato, 1xGhuol, cap 17"
propeller beanie	Initiative: +10, Familiar Effect: "atk, cap 7"
pumpkinhead mask	Familiar Effect: "1xVolley, 8xLep, cap 2"
Radio Free Baseball Cap	Moxie: +20, Familiar Effect: "1xLep, 1xFairy, cap 37"
raspberry beret	Hot Resistance: +2, Familiar Effect: "2xPotato, 2xLep, cap 12"
rave visor	Maximum MP: +20, Raveosity: +2, Familiar Effect: "1xVolley, 1.5xPotato, cap 37"
ravioli hat	Spell Damage: +1, Familiar Effect: "atk, cap 2"
red traffic cone	Moxie: +3, Cold Resistance: +2, Familiar Effect: "2xVolley, 2xLep, cap 15"
reinforced beaded headband	Maximum HP: +40, Familiar Effect: "0.5xBarrr, 1xFairy, cap 42"
rusty diving helmet	Stench Resistance: +1, Item Drop: -50, Initiative: -50, Familiar Effect: "0.5xPotato"
# safarrri hat: +10 Damage vs. Lions
safarrri hat	Maximum HP: +15, Familiar Effect: "2xVolley, cap 22"
samurai turtle helmet	Muscle: +1, Weapon Damage: +2, Familiar Effect: "atk, 1xPotato, cap 6"
Scalp of Gorgolok	Muscle: +11, Weapon Damage: +7, Class: "Seal Clubber", Familiar Effect: "3xGhuol, cap 25"
sea cowboy hat	Adventures: +3, Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1, Maximum HP: +50, Familiar Effect: "1xLep"
seal-skull helmet	Weapon Damage: +1, Familiar Effect: "atk, cap 2"
sealhide hood	Initiative: +20, Familiar Effect: "atk, 1xBarrr, cap 40"
Seasonal Beret	Muscle Percent: [+5*G], Mysticality Percent: [+5*G], Moxie Percent: [+5*G], Familiar Effect: "1xPotato, 1xFairy, cap 25"
sequined fez	Moxie: +3, Familiar Effect: "1.75xLep, cap 20"
shapeless wide-brimmed hat	HP Regen Min: 15, HP Regen Max: 20, MP Regen Min: 15, MP Regen Max: 20, Mysticality Percent: +5, Familiar Effect: "0.75xLep, 0.75xFairy"
silent beret	Muscle Percent: -30, Mysticality Percent: -30, Moxie Percent: -30, Initiative: -50, Combat Rate: -5, Familiar Effect: "1xVolley, cap 3"
sinister demon mask	Spooky Damage: +25, HP Regen Min: 10, HP Regen Max: 25, Food Drop: +25, Familiar Effect: "atk, cap 25"
skeletortoise	Mysticality: +2, Familiar Effect: "spooky atk, 2xFairy, cap 7"
# sleep mask: Can't see nothin'
sleep mask	Familiar Effect: "atk, 1xBarrr, cap 37"
slime-covered helmet	Slime Resistance: +2, Stench Resistance: +2, Cold Resistance: +2, Familiar Effect: "1xPotato, 1xFairy"
snailmail coif	Muscle: +10, Damage Reduction: 8, Familiar Effect: "1xPotato, 1xFairy, cap 41"
snorkel	Familiar Effect: "atk, cap 2"
snow hat	Damage Reduction: 3, Familiar Effect: "cold atk, cap 12"
Snow Queen Crown	Cold Damage: +5, Cold Resistance: +3, Familiar Effect: "cold atk, 1xGhuol, cap 28"
Sombrero De Vida	Four Songs, Familiar Effect: "1xVolley, 1xPotato, 1xLep, cap 12"
space beast fur hat	Damage Reduction: 5, Familiar Effect: "1xVolley"
space trooper helmet	Muscle: +5, Mysticality: +5, Moxie: +5, Softcore Only, Familiar Effect: "1xVolley, 1xLep, cap 2"
spaghetti cult mask	Spell Damage Percent: +15, Familiar Effect: "1xBarrr, 1xGhuol, cap 38"
spangly sombrero	Experience (Moxie): +3, Familiar Effect: "2xFairy, 2xPotato, cap 37"
spiky turtle helmet	Weapon Damage: +8, Monster Level: +8, Familiar Effect: "atk, 1xFairy, cap 32"
sponge helmet	Mysticality Percent: +10, MP Regen Min: 15, MP Regen Max: 20, Damage Absorption: +40, Familiar Effect: "atk, 1xFairy"
spooky hockey mask	Spooky Resistance: +2, Spooky Damage: +3, Familiar Effect: "1xBarrr, 1.5xGhuol, cap 25"
Spooky Putty mitre	Experience: +3, Softcore Only, Familiar Effect: "1.5xLep, 1.5xFairy, cap 25"
stainless steel skullcap	Maximum HP: +30, Damage Absorption: +60, Muscle Percent: +15, Familiar Effect: "1xLep, 1xFairy, cap 22"
star hat	Maximum MP: +30, Familiar Effect: "0.5xVolley, 0.5xPotato, cap 41"
stone baseball cap	Damage Reduction: 10, Weapon Damage: +15, Muscle: -10, Familiar Effect: "1xVolley, cap 48"
straw hat	Item Drop: +10, Food Drop: +15, Booze Drop: +15, Familiar Effect: "1xFairy"
sucker kabuto	Damage Reduction: 5, Familiar Effect: "Atk, cap 12"
sugar chapeau	Spell Damage Percent: +50, Spell Critical Percent: +10, MP Regen Min: 3, MP Regen Max: 5, Familiar Effect: "atk, 2xVolley, 2xLep, cap 25"
superhero mask	Muscle: +5, Mysticality: +5, Moxie: +5, Softcore Only, Familiar Effect: "1xLep, 1xFairy, cap 2"
suspicious-looking fedora	Moxie: +6, Weapon Damage: +6, Familiar Effect: "atk, 1xFairy, cap 15"
sweatband	PvP Fights: +2, Damage Reduction: 5, Familiar Effect: "sleaze atk, 1xFairy, cap 25"
tattered paper crown	Muscle: +3, Familiar Effect: "1xSombrero, cap 15"
The Necbromancer's Hat	Mysticality Percent: +20, Spooky Spell Damage: +30, Familiar Effect: "1xVolley, 1xBarrr"
Thunkula's drinking cap	Mysticality Percent: +50, Maximum MP: +250, MP Regen Min: 20, MP Regen Max: 40, Class: "Sauceror", Familiar Effect: "atk, 1xVolley"
time helmet	Adventures: +3, Familiar Effect: "0.5xPotato, 1xFairy, cap 25"
tin tam	Spooky Resistance: +2, Stench Resistance: +2, Hot Resistance: +2, Cold Resistance: +2, Sleaze Resistance: +2, Damage Reduction: 5, Experience (Mysticality): +1, Familiar Effect: "MP regen, cap 25"
# toy space helmet: Provides Mostly Accurate Battle Statistics During Fights
toy space helmet	Stench Resistance: +3, Spooky Resistance: +3, Familiar Effect: "0.5xPotato, 1xFairy, cap 43"
Tropical Crimbo Hat	Spooky Resistance: +1, Familiar Effect: "1xLep, 1.5xFairy, cap 25"
turtle wax helmet	Hot Resistance: +1, Familiar Effect: "0.5xPotato, 0.5xFairy, cap 10"
turtlemail coif	Muscle: +5, Damage Reduction: 4, Familiar Effect: "1xPotato, cap 20"
Uncle Hobo's stocking cap	Mysticality Percent: +20, Monster Level: +20, Familiar Effect: "atk"
Unkillable Skeleton's skullcap	Muscle Percent: +50, Maximum HP: +500, HP Regen Min: 40, HP Regen Max: 80, Class: "Turtle Tamer", Familiar Effect: "1xPotato, 1xFairy"
Van der Graaf helmet	Maximum MP: +15, MP Regen Min: 1, MP Regen Max: 3, Familiar Effect: "3xPotato, cap 7"
viking helmet	Muscle: +1, Familiar Effect: "atk, cap 5"
Voluminous Radio Hat	MP Regen Min: 5, MP Regen Max: 6, Familiar Effect: "1xPotato, 1xGhoul, cap 37"
warbear dress helmet	Moxie: +10, Booze Drop: +25, Familiar Effect: "cold atk, 1xVolley, cap 25"
# warbear electro-spiked helm: +60 WarBear Armor Penetration
# warbear electro-spiked helm: Troubling Vulnerability to All Elements (-5)
warbear electro-spiked helm	Muscle Percent: -25, Mysticality Percent: -25, Moxie Percent: -25, Hot Resistance: -5, Cold Resistance: -5, Spooky Resistance: -5, Stench Resistance: -5, Sleaze Resistance: -5, Familiar Effect: "atk, 1xFairy"
# warbear fancy fedora: +15% Item Drops from WarBears
warbear fancy fedora	Initiative: -25, Maximum HP: -50, Maximum MP: -50, Familiar Effect: "atk, 1xLep"
# warbear feathered fedora: +10% Item Drops from WarBears, Familiar Effect: "atk, 1xLep, cap 37"
# warbear foil hat: (additional +10 lbs. to Robotic Familiars)
warbear foil hat	Familiar Weight: +5, Class: "Turtle Tamer", Familiar Effect: "1xVolley, 2xPotato, cap 25"
warbear heated ushanka	Supercold Resistance: +3, Weapon Damage Percent: -25, Spell Damage Percent: -50, Familiar Effect: "1xatk, 1xLep"
warbear lined ushanka	Supercold Resistance: +2, Familiar Effect: "1.5xBarrr, 1xLep, cap 37"
# warbear plain fedora: +5% Item Drops from WarBears
warbear plain fedora	Initiative: +25, Maximum HP: +50, Maximum MP: +50, Familiar Effect: "atk, 1xLep, cap 12"
# warbear plain helm: +20 WarBear Armor Penetration
warbear plain helm	Weapon Damage Percent: +25, Spell Damage Percent: +50, Familiar Effect: "atk, 1xFairy, cap 12"
warbear plain ushanka	Supercold Resistance: +1, Spooky Resistance: +2, Stench Resistance: +2, Hot Resistance: +2, Cold Resistance: +2, Sleaze Resistance: +2, HP Regen Min: 10, HP Regen Max: 15, MP Regen Min: 10, MP Regen Max: 15, Familiar Effect: "1xBarrr, 1xLep, cap 12"
# warbear spiked helm: +40 WarBear Armor Penetration
warbear spiked helm	Familiar Effect: "atk, 1xFairy, cap 37"
water-polo cap	Weapon Damage: +30, Familiar Effect: "1xVolley, 1xBarrr"
wax hat	Moxie: +7, Maximum HP: +10, Familiar Effect: "1xPotato, 1xFairy"
webbed comic mask	Muscle: +5, Mysticality: +5, Moxie: +5, Softcore Only, Familiar Effect: "1xVolley, 1xLep, cap 2"
willowy bonnet	Maximum MP: +40, Familiar Effect: "1xFairy, cap 18"
witch hat	Familiar Effect: "8xVolley, 8xLep, cap 2"
wolf mask	Muscle: +4, Moxie: -5, Familiar Effect: "1xBarrr, HP regen, cap 37"
wolfman mask	Familiar Effect: "8xVolley, 8xLep, cap 2"
wolfskull mask	Monster Level: +15, Spooky Damage: +50, Familiar Effect: "spooky atk, 1xBarrr"
wooden salad bowl	Familiar Effect: "atk, cap 30"
wool hat	Damage Absorption: +20, Cold Resistance: +2, Familiar Effect: "1xLep, cap 43"
worn tophat	Moxie: +5, Initiative: +15, Familiar Effect: "1xBarrr, 1xLep, cap 31"
wreath of laurels	Muscle: +25, Maximum HP: +25, Maximum MP: +25, Familiar Effect: "0.5xLep, 0.5xFairy"
wumpus-hair wig	Moxie: -5, Stench Damage: +20, Stench Spell Damage: +20, Familiar Effect: "1xPotato, 1xGhuol, cap 25"
Xiblaxian stealth cowl	Combat Rate: -5, Mysticality Percent: +20
yabba dabba doo rag	Stench Resistance: +4, HP Regen Min: 5, HP Regen Max: 10, Familiar Effect: "atk, 1xVolley, cap 27"
yak toupee	MP Regen Min: 3, MP Regen Max: 4, Familiar Effect: "atk, 1xPotato, cap 25"
yellow plastic hard hat	Familiar Effect: "atk, cap 22"
yellow traffic cone	Moxie: +3, Sleaze Resistance: +2, Familiar Effect: "1xVolley, 1xLep, cap 15"
# Ze&trade; goggles: +25% Item Drops from Monsters (Underwater only)
Ze&trade; goggles	Item Drop: [25*(zone(The Sea)+loc(The Sunken Party Yacht))], Familiar Effect: "Atk, cap 7"
zombie mariachi hat	Moxie Percent: +50, Maximum HP: +150, Maximum MP: +150, Initiative: +40, Class: "Accordion Thief", Familiar Effect: "atk, 1xLep"
Zombo's skullcap	Muscle Percent: +20, Familiar Weight: +10, Class: "Turtle Tamer", Familiar Effect: "spooky atk"

# Pants section of modifiers.txt

1337 7r0uZ0RZ	Muscle: +6, Moxie: -3, Familiar Effect: "2xPotato, cap 27"
alpha-mail pants	Familiar Effect: "atk, 1xBarrr, cap 35"
Angelhair Culottes	Mysticality: +11, Spell Damage: +15, Class: "Pastamancer", Familiar Effect: "1.5xPotato, 2xGhoul, cap 31"
antique greaves	Initiative: -10, Familiar Effect: "1xBarrr"
astral shorts	Moxie Percent: +25, Initiative: +20, HP Regen Min: 2, HP Regen Max: 4, MP Regen Min: 2, MP Regen Max: 4, Familiar Effect: "1xGhoul, cap 12"
astral trousers	Muscle Percent: +25, Weapon Damage Percent: +50, Meat Drop: +20, Familiar Effect: "1xPotato, cap 12"
astronaut pants	Maximum HP: +30, Maximum MP: +30, Muscle: +5, Familiar Effect: "1xVolley, 1.5xPotato, cap 43"
baggy rave pants	Damage Absorption: +20, Raveosity: +2, Familiar Effect: "1xVolley, 1xPotato, cap 37"
bark boxers	Damage Reduction: 5, Familiar Effect: "atk, 3xVolley, cap 10"
barskin loincloth	Muscle: +1, Familiar Effect: "sleaze atk, 4xVolley, cap 6"
basic meat kilt	Moxie: +1, Familiar Effect: "3xPotato, 3xFairy, cap 10"
basic meat pants	Moxie: +1, Familiar Effect: "atk, 2xPotato, cap 10"
basic meat skirt	Moxie: +1, Familiar Effect: "3xBarrr, 3xFairy, cap 10"
big pants	Weapon Damage: +25, Spell Damage: +25, Familiar Effect: "atk"
biomechanical crimborg leg armor	Hot Damage: +5, Stench Damage: +5, Familiar Effect: "1xBarrr, 1.5xGhuol, cap 37"
black greaves	Muscle: +10, Damage Absorption: +30, Familiar Effect: "atk, 1xBarrr, cap 40"
# bloodied surgical dungarees: Makes you look like a gross doctor
bloodied surgical dungarees	MP Regen Min: 3, MP Regen Max: 5, Surgeonosity: +1, Familiar Effect: "1xPotato, 1xFairy, cap 38"
bloody clown pants	Spooky Damage: +3, Clownosity: +1, Familiar Effect: "3xPotato, 2xFairy, cap 12"
boneana hammock	Sleaze Spell Damage: +20, Sleaze Damage: +20, Familiar Effect: "sleaze atk, 1xVolley, cap 30"
Boss Bat britches	Moxie: +5, Familiar Effect: "atk, 3xGhuol, cap 16"
bounty-hunting pants	Item Drop: +20, Familiar Effect: "1xPotato, 2xFairy, cap 25"
bowlegged pants	Moxie: +5, Familiar Effect: "1xGhoul, cap 25"
BRAINS shorts	Sleaze Damage: +40, Sleaze Spell Damage: +40, Familiar Effect: "sleaze atk, 1.5xGhuol"
BRICKO pants	Damage Absorption: +9, Familiar Effect: "1.5xVolley, 2xLep, 1xPotato, cap 22"
Brimstone Boxers	Moxie Percent: +50, Mysticality Percent: -20, Initiative: +50, Brimstone, Familiar Effect: "1xVolley, 1xLep"
Brogre brorts	Monster Level: +10, Familiar Effect: "sleaze atk, 1xGhuol, cap 25"
bugbear bungguard	Familiar Effect: "5xBarrr, cap 7"
bullet-proof corduroys	Maximum MP: +40, Damage Reduction: 2, Familiar Effect: "stench atk, 1xBarrr, cap 42"
buoybottoms	Moxie: +11, Monster Level: +7, Initiative: -30, Familiar Effect: "1xPotato, 1xLep, cap 37"
Can-Can skirt	Muscle Percent: +10, Familiar Effect: "1.5xFairy, 2xPotato, cap 22"
cane-mail pants	Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10, HP Regen Min: 1, HP Regen Max: 4, MP Regen Min: 1, MP Regen Max: 4, PvP Fights: +3, Familiar Effect: "atk, 2xBarrr, cap 25"
Cerebral Culottes	Mysticality: +10, Familiar Effect: "3xBarrr, 1xGhoul, cap 22"
chain-mail monokini	Familiar Effect: "sleaze atk, 4xBarrr, cap 7"
Chester's cutoffs	Hot Resistance: +3, Stench Resistance: +3, Class: "Disco Bandit", Familiar Effect: "sleaze atk, 1.5xGhuol"
clingfilm trousers	Mysticality: +9, Familiar Effect: "sleaze atk, 1xPotato, cap 37"
Cloaca-Cola fatigues	Mysticality: +3, Familiar Effect: "4xPotato, 1.5x Ghoul, cap 7"
clockwork pants	Initiative: +10, Familiar Effect: "3xPotato, 1.5xGhuol, cap 20"
cool iron greaves	Damage Reduction: 20, HP Regen Min: 20, HP Regen Max: 40, Familiar Effect: "atk, 1xBarrr"
corroded breeches	Damage Absorption: +50, Critical Hit Percent: +5, Slime Hates It: +1, Familiar Effect: "sleaze atk, 1xPotato"
crappy Mer-kin tailpiece	Initiative: -25, Mana Cost: +2, Familiar Effect: "1xBarrr, 1xFairy"
Crimbo pants	Initiative: +30, Familiar Effect: "atk, cap 25"
crotchety pants	Maximum HP: +40, Familiar Effect: "3xPotato, 2xGhuol, cap 18"
cursed breeches	Moxie: +15, Familiar Effect: "stench atk, 1xPotato"
Danglin' Chad's loincloth	Sleaze Damage: +25, Moxie: -10, Familiar Effect: "stench atk, 0.5xVolley"
demonskin trousers	Hot Resistance: +2, Familiar Effect: "hot atk, 3xPotato, cap 17"
depleted Grimacite shinguards	Muscle Percent: [5*G], PvP Fights: [G], Familiar Effect: "atk, 3xBarrr, cap 25"
distressed denim pants	Stench Resistance: +1, Damage Reduction: 2, Familiar Effect: "sleaze atk, 1xPotato, cap 42"
double-ice britches	Hot Resistance: +4, Damage Reduction: 4, Maximum HP: +40, Maximum MP: +40, Familiar Effect: "cold atk, 3xVolley, 3xLep, cap 17"
drafty drawers	Maximum MP: +200, MP Regen Min: 15, MP Regen Max: 20, Familiar Effect: "1.5xVolley"
dress pants	Moxie: +5, Familiar Effect: "2xFairy, cap 28"
Drunkula's silky pants	Cold Spell Damage: +100, Stench Resistance: +5, Sleaze Resistance: +1, Class: "Sauceror", Familiar Effect: "1xPotato, 1xGhoul"
# dubious loincloth: Deals <font color=purple>Sleaze Damage</font> every round
dubious loincloth	Familiar Effect: "atk, 1.5xVolley"
duct tape dockers	Muscle: +6, Mysticality: +6, Moxie: +6, Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1, Familiar Effect: "1xPotato, 1xGhuol, cap 48"
dungeoneer's dungarees	Spooky Resistance: +1, Stench Resistance: +1, Hot Resistance: +1, Cold Resistance: +1, Sleaze Resistance: +1, Familiar Effect: "stench atk, 4xPotato, cap 7"
# dwarvish war kilt: Blinky Lights
dwarvish war kilt	Familiar Effect: "1xBarrr, 1xFairy, cap 41"
Dyspepsi-Cola fatigues	Mysticality: +3, Familiar Effect: "3.5xPotato, 3xVolley, cap 7"
# eelskin pants: Damages Attacking Opponent (Underwater Only)
eelskin pants	Mysticality Percent: +5, Familiar Effect: "1xPotato, MP regen"
El Vibrato leg guards	Familiar Effect: "1xBarrr, 1xGhuol"
electronic dulcimer pants	Adventures: +2, Initiative: +25, Familiar Effect: "8xPotato, cap 2"
extremely skinny jeans	Muscle Percent: -10, Mysticality Percent: -10, Moxie Percent: -10, Critical Hit Percent: +5, Familiar Effect: "1xPotato, 1xFairy"
fancy tuxedo pants	Moxie Percent: +15, Familiar Effect: "2xVolley, 1xPotato, cap 25"
filthy corduroys	Mysticality: +3, Moxie: -3, Familiar Effect: "stench atk, 2xPotato, cap 15"
fire hose	Hot Damage: +20, Hot Spell Damage: +25, Spell Damage Percent: +30, Familiar Effect: "hot atk, 1xVolley, cap 37"
floaty rock pants	Spell Critical Percent: +10, Familiar Effect: "1.5xBarrr, 1xGhuol, cap 25"
floral-print skirt	Stench Damage: +20, Monster Level: +5, Familiar Effect: "stench atk, 2xPotato, cap 15"
flowing hippy skirt	Mysticality: +9, Stench Spell Damage: +15, Familiar Effect: "stench atk, 1xFairy, cap 45"
foam naval trousers	Initiative: +50, Familiar Effect: "sleaze atk, 1xPotato"
frilly skirt	Familiar Effect: "4xFairy, cap 8"
furry kilt	Sleaze Damage: +5, Familiar Effect: "sleaze atk, 1xFairy, cap 37"
furry pants	Sleaze Damage: +5, Familiar Effect: "1xPotato, 1xGhuol, MP regen, cap 37"
furry skirt	Sleaze Damage: +5, Familiar Effect: "sleaze atk, 1xFairy, cap 37"
Galapagosian Cuisses	Muscle: +11, Familiar Weight: +10, Class: "Turtle Tamer", Familiar Effect: "2xBarrr, MP regen, cap 31"
gauze shorts	Damage Reduction: 3, HP Regen Min: 6, HP Regen Max: 10, Familiar Effect: "1xBarrr, 1xGhuol, cap 42"
ghast iron codpiece	Spooky Damage: +10, Hot Damage: +10, Familiar Effect: "atk, 1xBarrr, cap 42"
giant discarded torn-up glove	Stench Damage: +5, Moxie: -10, Familiar Effect: "stench atk, 0.5xPotato, cap 38"
gnauga hide chaps	Damage Absorption: +30, Familiar Effect: "atk, 4xBarrr, cap 20"
gnauga hide kilt	Damage Absorption: +30, Familiar Effect: "2.5xFairy, cap 20"
gnauga hide skirt	Damage Absorption: +30, Familiar Effect: "2.5xFairy, cap 20"
gold lam&eacute; pants	Moxie: -8, Familiar Effect: "2xPotato, 1xLep, cap 25"
grass skirt	Moxie: +5, Familiar Effect: "atk, 1.5xFairy, cap 20"
# Great Wolf's beastly trousers: Troubling Vulnerability to All Elements (-5)
Great Wolf's beastly trousers	Weapon Damage Percent: +50, Familiar Weight: +10, Hot Resistance: -5, Cold Resistance: -5, Spooky Resistance: -5, Stench Resistance: -5, Sleaze Resistance: -5, Familiar Effect: "1xPotato, 1.5xWhelp"
# Greatest American Pants: Amazing Super Powers
Greatest American Pants	Muscle Percent: +10, Mysticality Percent: +10, Moxie Percent: +10, Weapon Damage Percent: +50, Softcore Only, Familiar Effect: "1.5xVolley, 2.5xBarrr, 2xLep, cap 25"
Greaves of the Murk Lord	HP Regen Min: 2, HP Regen Max: 5, Familiar Weight: +5, Muscle Percent: +5, Mysticality Percent: +5, Moxie Percent: +5, Familiar Effect: "1xBarrr, cap 30"
Grimacite gaiters	Adventures: +3, Mysticality Percent: [10*G], Familiar Effect: "3xBarrr, 2xGhoul, cap 37"
Grimacite greaves	Initiative: +20, Moxie Percent: [10*G], Familiar Effect: "2xBarrr, 3xGhoul, cap 37"
gym shorts	PvP Fights: +2, Initiative: +20, Familiar Effect: "sleaze atk, 1xGhuol, cap 25"
hardened slime pants	Spooky Resistance: +3, Stench Resistance: +3, Hot Resistance: +3, Cold Resistance: +3, Sleaze Resistance: +3, Never Fumble, Moxie Percent: +20, Familiar Effect: "atk, 1xPotato"
hep waders	Maximum Hooch: +3, Familiar Effect: "1xPotato, 1xVolley, cap 12"
hippopotamus kilt	Maximum HP: +25, Familiar Effect: "atk, 1xFairy, cap 32"
hippopotamus pants	Maximum HP: +25, Familiar Effect: "1xPotato, 2xGhuol, cap 32"
hippopotamus skirt	Maximum HP: +25, Familiar Effect: "1xBarrr, 1xFairy, cap 32"
hobo dungarees	Maximum MP: +500, Mysticality Percent: +5, Familiar Effect: "0.5xVolley, 1xPotato"
Hodgman's lobsterskin pants	Muscle Percent: +20, Mysticality Percent: +20, Moxie Percent: +20, Hobo Power: +25, Familiar Effect: "atk, 1xPotato"
honeybritches	Muscle Percent: +5, Critical Hit Percent: +5, Weapon Damage: +15, Familiar Effect: "sleaze atk, 2xGhuol, cap 43"
hot daub stand	Hot Damage: +9, Hot Spell Damage: +9, Familiar Effect: "hot atk, cap 21"
ironic jogging shorts	Initiative: +10, Damage Absorption: +20, Moxie: -5, Familiar Effect: "1xBarrr, 6xGhuol, cap 10"
Jeans of Loathing	HP Regen Min: 20, HP Regen Max: 30, MP Regen Min: 20, MP Regen Max: 30, Maximum HP: +500, Maximum MP: +500, Stench Resistance: +5, Cloathing, Familiar Effect: "stench atk, 1xPotato"
# Jodhpurs of Violence: Allows moshing
Jodhpurs of Violence	PvP Fights: +4, Critical Hit Percent: +5, Weapon Damage Percent: +30, Familiar Effect: "atk, 1xPotato"
junk trunks	Muscle: +5, Familiar Effect: "cap 15"
Knob Goblin elite pants	Moxie: +3, Familiar Effect: "2xBarrr, cap 15"
Knob Goblin harem pants	Moxie: +1, Familiar Effect: "sleaze atk, 8xPotato, cap 2"
Knob Goblin pants	Muscle: +1, Familiar Effect: "atk, 5xPotato, cap 6"
Knob Goblin Uberpants	Muscle: +2, Mysticality: +2, Moxie: +2, Familiar Effect: "3xPotato, 3xFairy, cap 11"
Krakrox's Loincloth	Muscle: +11, Initiative: +15, Class: "Seal Clubber", Familiar Effect: "1xVolley, 2xPotato, cap 31"
Leapin' Trousers	Adventures: +1, Muscle: +4, Mysticality: +4, Moxie: +4
leather chaps	Moxie: +8, Muscle: -4, Familiar Effect: "sleaze atk, 1xBarrr, cap 40"
Lederhosen of the Night	Moxie: +11, Initiative: +15, Class: "Accordion Thief", Familiar Effect: "atk, 2xGhuol, cap 31"
lemon drop trousers	Candy Drop: +50, Lasts Until Rollover, Familiar Effect: "atk, 1xPotato, cap 12"
leotarrrd	Initiative: +15, Familiar Effect: "2xVolley, 2xPotato, cap 22"
# liar's pants: +30 to All Attributes.  Yeah, +30.  That's the ticket.
liar's pants	Hot Damage: +10, Softcore Only, Muscle: +5, Mysticality: +5, Moxie: +5, Familiar Effect: "hot atk, cold atk, cap 25"
los chinos	Damage Absorption: +20, Familiar Effect: "2xPotato, HP regen, cap 13"
lynyrdskin breeches	Initiative: +25
makeshift skirt	Initiative: +15, Familiar Effect: "2xBarrr, 1xFairy, cap 25"
manly bloomers	Muscle: +6, Moxie: -3, Familiar Effect: "3xBarrr, 1xGhuol, cap 13"
mariachi pants	Familiar Effect: "8xPotato, cap 2"
Mayor Ghost's khakis	Spooky Spell Damage: +100, Sleaze Resistance: +5, Cold Resistance: +1, Class: "Pastamancer", Familiar Effect: "1xPotato, HP regen"
Mer-kin gladiator tailpiece	Initiative: -25, Damage Reduction: 10, Mana Cost: +2, Familiar Effect: "1xBarrr, 1xFairy"
Mer-kin scholar tailpiece	Initiative: -25, Mysticality Percent: +10, Mana Cost: +2, Familiar Effect: "1.5xBarrr, 1xFairy"
miner's pants	Damage Absorption: +20, Familiar Effect: "stench atk, 1.5xPotato, cap 20"
